gene,zy,early2cell,mid_late_2cell,4cell,8C-16C,blastocyst
Ptprk,19.54599562,18.31544628,17.01132043,9.898383714,1.636943387,26.57537182
Pts,0.726157913,2.853062932,0.209016209,9.598491656,2.391947871,12.28028399
Pxdc1,0,0,0.279664296,0,0.565444503,1.848772212
Pxylp1,0.182605984,0.564918643,0.565175118,0,0.516480579,0.293188359
Pyurf,9.483737768,6.81248759,2.158666339,0.039447179,0.728091869,5.239945067
Rab12,131.5207182,97.14258128,132.1742768,46.09997654,15.30039883,36.01427103
Rab26os,0.19974271,0.232664473,4.295804432,6.594375881,4.542972425,2.904224904
Rab38,61.49958365,100.4666379,19.89896068,3.28672558,21.8147373,15.27791408
Rabl2,23.09963003,39.23764587,16.2488161,11.72914242,19.99037721,32.13737903
Rack1,115.6581487,58.96524044,176.9093375,877.0046026,2142.161225,1754.407723
Rad21l,0.381356746,0.375633992,0,0,0.417933812,0.004705993
Raet1d,1.099170658,1.098189737,0.378936168,0,0.113325895,0.620107778
Raet1e,21.65950853,18.04925564,3.745190199,0,1.302280669,7.702957928
Rasip1,0,0.008597656,0.167548691,0,0.17697848,1.515373532
Rassf4,0.052146101,1.207494697,0.781252756,0,0.084629815,24.03508997
Rassf8,2.892977081,2.249887055,10.26725989,4.664741716,45.63739409,48.50100285
Rbm44,53.34975214,83.79992182,41.98894709,1.60211113,7.314075692,30.59210418
Rbpj-ps3,26.23939636,31.38942562,8.432550002,3.985555251,17.66262793,18.23071405
Rcan1,204.0981574,137.8793456,22.11580415,28.68858136,42.37611742,25.55549619
Rec8,0,0.320749534,0.165975704,2.000287618,3.232783132,8.364075797
Reep4,25.25577955,19.4741157,9.702645252,3.062921566,10.81232975,26.11918146
Reln,27.82515466,14.69412041,7.720744074,5.289512389,1.463897877,0.069279961
Rfc3,55.19278403,34.6651592,10.77718775,60.12433953,88.19388379,65.49153916
Rfx8,0,0,0.005247333,0,0.024681917,0.011838614
Rmdn1,1.368852499,0.368788144,0.332540771,1.150545139,0.941008609,3.672582717
Rnaset2a,0.317847595,0.9012445,0.161697423,0,0.350259304,0.416858146
Rnaset2b,0.277478046,0.5297323,0.292783984,0.067131683,0.642430625,0.265357695
Rnf145,20.27246359,28.36420502,17.79395605,8.567695549,3.651143868,4.150319869
Rnf219,160.7641404,135.0695192,4.801792318,0.342112321,1.188750786,0.113589425
Rnu12,0.03820162,0.080781082,0,0,0.00346564,0.051346589
Rpl10l,0,1.469591642,76.20152055,121.4883932,59.65227876,42.94866207
Rpl26,0.311414956,0.62742192,31.51862304,93.31614212,222.9961756,191.1202579
Rpl27-ps2,0.038595584,0.040112872,1.286975183,3.092826638,6.132178445,5.612435866
Rpl31,1.511221929,0.473533184,6.192242442,11.08316882,23.39323869,25.05575169
Rpl35a-ps3,0,0,0.011131224,0.005265204,0.074782588,0.074448315
Rpl39l,8.945810558,5.483801943,111.2449633,198.3406241,203.8732048,134.9711945
Rpl7a-ps12,0.007477583,0,0.091173719,0.052282231,0.33180635,0.338012635
Rpp21,10.9677598,5.206024985,9.605945848,23.53510934,124.7946908,160.7051515
Rpp25l,29.12321267,26.88287895,4.411865123,19.17383548,29.86022721,56.77085524
Rps15-ps2,0.964712978,0.651875854,5.694325447,26.99980123,66.55861539,39.54989406
Rps2-ps10,0.611485885,0.293181767,5.746923473,11.58611733,18.43284571,12.63928789
Rps2-ps13,0.349567581,0.178920736,3.190071012,6.412444677,9.573203845,7.198395885
Rps27a-ps2,0,0.011696399,2.161021081,6.175327103,11.65200649,12.59269164
Rps3a2,1.436381443,0.833581413,22.34573052,77.79282097,135.7682955,129.0402215
Rps3a3,1.641079228,0.833829743,21.01471193,72.3286027,148.1737056,127.2759381
Rpsa,0.148278506,0.307230932,14.09790018,45.53475669,70.02412223,82.43312822
Rpsa-ps2,0.142208131,0.113808706,5.680784949,22.41598351,45.60132948,52.12032357
Rragd,27.92138726,34.90614296,20.61990377,22.31334211,474.2926737,189.5967143
Rsph3b,5.205286502,3.381745731,0.93345154,1.650984904,1.489008005,1.569643282
