gene,zy,early2cell,mid_late_2cell,4cell,8C-16C,blastocyst
Dennd6b,0.375212389,0.132431277,0.514890983,12.73576739,2.220381088,6.583173306
Desi2,176.9295239,208.5611527,225.2500755,76.21545702,21.68072036,32.16948629
Dgkh,6.990672784,7.434442849,5.806471759,5.298655142,2.581354331,4.650107063
Dgkz,7.711032247,3.397851787,4.505646779,86.13932608,73.76740178,40.78448199
Dhrs13os,9.001816586,5.794639431,0.115033545,3.758029744,0,0.371170857
Dhx58,0.444894457,0.315624938,0.310944023,9.323105263,2.769569524,0.733347685
Dipk2a,54.61276236,43.13611794,41.89138349,6.261814072,3.227172509,19.38311798
Dis3l,49.56019093,56.59799422,158.9734834,168.8151456,3.810338628,4.955424375
Dlgap1,9.277482029,12.46147164,6.616818967,1.194076889,2.339250392,1.632872855
Dlgap3,0,0,0.018611825,0,0.005155825,0.097134096
Dlx1,0.014758185,0.008597656,0.304706224,0,0,0.003204506
Dlx3,0,0.453581019,2.020124195,2.193754806,1.281917341,0.000567376
Dmtn,0.862071663,1.025028643,7.477347655,15.38306135,24.70580037,18.48774442
Dnah7c,35.40063915,46.35415044,18.05268929,6.983024207,3.278234327,0.481806204
Dnajb14,5.597274667,6.925882251,251.3144899,151.2426208,36.44605351,19.61726414
Dnajc12,0,0.158054627,29.17130447,13.64291122,9.674909506,4.230983055
Dnase2a,0,0,2.679430382,2.519804198,33.16232551,44.93097088
Dnmt1,479.5558845,223.9919872,89.27664855,84.32537509,62.07340916,70.08090515
Dock6,97.68163346,54.89429875,28.83200279,14.43115462,21.9998924,6.527502513
Dot1l,239.9643823,187.0991374,224.9019394,81.13752019,61.69034766,60.32377554
Dpys,1.649356679,1.105406419,0.038836335,0.01754156,0.003395499,2.017645386
Drc7,0.081712927,0.450124684,1.226079563,2.382006437,1.486359085,0.146304058
Dscaml1,0,0.408355958,0.497755431,0.004413158,0.001575606,0.009599886
Dtd1,0.912428786,0.361373922,0.382630754,11.88360138,27.70589049,40.60181941
Dusp16,80.12434001,87.17139627,48.03013679,109.5269654,21.45404296,8.659777567
Dusp26,0,0,0.532579269,6.867954567,5.716786404,1.223326393
Dusp5,0,0.600526295,44.63462551,7.371214213,2.814967553,4.198100354
Dvl1,2.003942822,0.012645523,3.348960977,4.793535235,9.393474394,8.790629084
Dydc1,1.002519545,0.407291399,1.216234719,3.888558381,0.208303193,0.036914428
Dydc2,6.363141866,2.426716737,0.729084817,23.52794005,2.404092082,0.187837901
Dym,57.80455132,79.23650584,61.22656986,32.02666045,37.56573378,45.22019587
E030024N20Rik,1.618003978,1.519237132,4.218705977,10.37781435,27.76774815,36.61809391
E130215H24Rik,0,0.181387326,1.034587494,4.043479512,0.509088657,0.145195675
