gene,dux_0h,dux_12h,dux_24h,dux_36h,dux_48h,dux_72h
Gm16344,0.054447137,0.161878846,0.608759331,0.384450883,0.207856235,0.081369622
Gm16367,0.054447137,0.32670946,0.696764714,0.430947271,0.176285695,0.136622848
Gm16368,0.054447137,1.773948181,4.708135052,2.480927005,1.333240393,0.411413366
Gm16427,0.054447137,0.541605407,1.337803326,0.628997243,0.358919752,0.16490321
Gm16429,0.07905604,3.123204512,5.437871029,2.240502562,1.365068368,0.797855109
Gm16478,0.054447137,14.62638553,25.62147035,16.95071662,10.88765707,3.135892127
Gm16513,0.054447137,0.834906076,1.647057136,0.9125429,0.298059211,0.24701455
Gm16892,1.303125942,3.894889805,4.304576294,2.385572272,1.49111107,1.651972286
Gm17017,0.082660838,0.838657662,3.40319285,2.034336829,0.948047977,0.73441198
Gm17019,0.054447137,1.54070427,2.437454484,0.889198901,0.629751324,0.21739455
Gm17026,0.054447137,1.361592665,1.900540102,0.799699108,0.275668842,0.109660228
Gm17249,2.453579195,3.955214578,4.692782215,3.763865719,2.400393696,1.646309794
Gm17611,0.054447137,0.38412351,0.864318305,0.353336264,0.117656999,0.054447137
Gm17895,0.054447137,9.228880824,16.29586832,4.628037653,1.84297807,1.037632166
Gm18198,0.054447137,0.229584123,0.923881038,0.205885631,0.117656999,0.081369622
Gm18204,0.054447137,1.067609219,3.567837495,2.551345813,1.177924691,0.955466891
Gm18280,0.054447137,0.111835211,0.557927021,0.197934939,0.083786472,0.081369622
Gm18304,0.20922845,1.013738632,1.526144822,0.695291872,0.295743748,0.190417704
Gm18342,0.054447137,0.791563851,2.257374281,1.549456356,0.668110371,0.275341017
Gm18617,0.054447137,0.587875481,0.638493592,0.159379323,0.086065973,0.082737743
Gm18629,0.054447137,0.651939541,0.692871908,0.559292031,0.32731315,0.21739455
Gm18765,0.371124001,40.04386014,75.35098399,45.10599553,14.98096414,4.431680407
Gm18805,0.054447137,1.149904973,1.371899425,1.016745675,0.634152741,0.276747022
