gene,0h,12h,24h,36h,48h,72h
Kctd13,0,-1.057627291,-0.450538001,-0.179300429,-0.44640033,-0.666006161
Pakap,0,0.880075195,0.30317273,-0.180882297,-0.138795311,0.046494129
Dnajb14,0,1.619935223,3.017720365,2.052040134,1.735117884,1.537321283
Tdpoz9,0,6.750304894,8.214974992,6.979120908,6.203030841,5.429960919
4930453N24Rik,0,1.317062778,1.189622198,0.623872476,0.458635219,0.134224776
Tacr3,0,6.790770594,9.091046038,7.808348179,6.656663547,5.815781381
Duxbl1,0,3.990556653,3.913056085,3.084415076,2.38446884,1.521779844
Dbf4,0,0.752730933,0.85334472,0.520826282,0.748274061,0.5833505
Zfp41,0,1.271601531,0.890603457,0.73903666,0.249959707,0.180993353
Kbtbd8,0,1.205360178,0.969927466,0.58270158,0.524738159,-0.129141105
Olfr881,0,6.813704539,8.280126023,6.68530767,5.945998566,5.371441516
Spdye4b,0,8.961355295,10.92368922,9.716924036,8.565562096,7.642748833
Ece1,0,-0.844119446,-0.491167953,0.034788718,-0.212299268,0.082187149
Pskh1,0,1.452245425,1.32681383,1.05186537,0.515524732,-0.481338823
Stxbp1,0,-0.978490401,-0.86144456,-0.76241081,-0.97837323,-0.805436305
AC140325.2,0,6.652890893,7.442086944,5.979858397,5.450593515,4.41275117
Zfp770,0,1.351452503,0.95481264,0.414481751,0.214142315,-0.4306626
Robo1,0,0.862808027,1.678727818,0.914445982,0.428569663,0.186538026
Crk,0,0.812025874,0.75364957,0.618446737,0.663697029,0.267262754
Bri3,0,-0.886960428,-0.140664884,0.378203868,0.741317727,0.878476279
Jade1,0,0.732890542,1.044389802,0.72191233,0.886354654,0.807965233
Gm6502,0,5.362737281,5.564842575,3.760679398,2.884276185,2.477192415
Rep.RMER13B.LTR.ERVK,0,0.929619805,0.892932011,0.741575233,0.34036627,0.166120055
Gm38342,0,2.87622193,3.978231142,3.029367011,2.171404153,0.916540008
Sbno1,0,-0.72136616,-0.5322612,-0.157068762,-0.068673518,0.023151214
Fem1a,0,2.03570866,1.765498321,1.113789957,1.115237229,1.011094111
Haspin,0,1.518117426,1.136518512,0.914914446,0.554763572,-0.052562225
Gm5590,0,4.53253904,6.883152057,5.517411887,4.420021171,3.003037898
Slc35e3,0,1.395822971,2.04646332,1.737167104,1.267174619,0.863883515
Ei24,0,-0.816385073,-0.552424435,-0.599625069,-0.473017186,-0.461627953
Derl3,0,-1.625909377,-1.43947797,-1.761313251,-1.734745465,-1.637598225
Nek10,0,3.15788466,4.519941935,2.981899579,1.986593355,1.522010705
Gm5939,0,5.236311752,8.22520442,6.648036533,6.13377959,4.785744477
Oaz2,0,-0.769844223,-0.947417957,-1.418177682,-1.450118397,-1.629324551
Zswim3,0,1.540617887,1.785491336,1.305989819,0.556964453,-0.064080942
Rep.IAPEY3-int.LTR.ERVK,0,2.091546225,2.59502416,1.88176773,1.371816241,1.244201017
Gm5542,0,4.957821731,7.789939962,6.555131736,5.85480657,4.612704366
Sox11,0,-0.764458401,-0.575042998,-0.382898789,-0.605464105,-0.684301009
AA684185,0,8.871084034,11.29688472,10.40388916,8.710223388,7.334399896
Fem1b,0,0.674619877,0.742498247,0.727316085,0.879741868,0.592633531
AC133103.1,0,6.504716587,8.073374972,6.863678882,5.673266823,5.214564825
6530403H02Rik,0,8.981705464,10.34443635,8.897642884,8.464665277,7.477910852
Rep.RLTR10C.LTR.ERVK,0,0.937336379,1.644932501,1.187096341,0.600438267,0.46506188
Srf,0,-0.850694507,-0.6096116,-0.650997734,-0.787540981,-0.830242114
Bag5,0,1.832072197,1.736346994,1.51171773,1.223357736,0.71624442
Trak2,0,0.902300073,1.286316183,0.617648488,0.193491964,-0.062829478
Zdhhc5,0,0.960752258,0.667315204,0.39489792,0.142767532,0.046846351
Mocs3,0,2.625342802,1.85953009,1.476391618,1.407258435,0.984854597
Enox1,0,1.362896045,-0.329046807,-0.870751912,-1.292680098,-0.689422602
Elk4,0,-0.874832387,-0.903507935,-0.668304384,-0.972902962,-0.608443603
Noct,0,1.121333653,1.019762633,0.607880918,0.100352576,-0.364292849
Sqle,0,-0.707923465,-0.889899605,-1.029752304,-1.168157352,-1.204878149
Qsox2,0,1.034642987,1.393395106,1.528442632,1.39475432,1.327095421
1700017B05Rik,0,1.760795724,1.643412153,1.521440908,0.927120678,0.467631193
Mex3c,0,0.95237093,0.974014761,0.757149379,0.694971395,0.434451834
Gm7627,0,8.758640422,10.90504974,9.919100419,8.568433103,7.50863822
H2-Q4,0,-1.35375664,-0.223297352,0.301904955,-0.189319732,-0.971053023
Klhl11,0,-0.850412703,-0.246654396,-0.49549213,-1.209271987,-1.121041556
Gm50455,0,-1.925565483,-1.187854139,-1.04425134,-0.819440578,-0.282224703
Wipi1,0,-0.994193764,-0.491978251,-0.614793292,-0.56679962,-0.474676568
Cmtr2,0,1.770834393,1.639668571,1.314714363,0.817470309,0.132493902
Spopfm3,0,6.439387671,9.082938091,8.411981424,7.3195585,6.389572679
Cox6b2,0,-0.742390835,-0.469813328,-0.502188439,-0.052702318,0.309104718
B3gntl1,0,1.338532525,1.723261866,1.29538406,0.870615499,0.345042928
Gbx2,0,2.210638912,1.85061749,1.272150708,1.21614441,0.003594344
Zfp318,0,0.946797407,0.909265402,0.760518201,0.374726468,0.501843606
Rb1,0,-1.028503961,-0.731974234,-0.572448219,-0.564673095,-0.124865859
Zfp819,0,3.057874371,1.690146213,-0.020141827,0.510599839,-0.904765857
AC132444.1,0,8.750346437,11.3335723,10.50809037,9.083520138,7.298006602
Tbc1d8,0,-1.004671165,-0.326645853,0.072943612,0.183045939,0.070182752
Per3,0,-0.907521311,-0.60654885,0.130673717,-0.321841172,-0.528600842
Tdpoz1,0,8.706196909,10.65570834,9.220039338,8.390561931,7.889726352
Gtf3c6,0,1.345245504,1.05191588,0.524571924,0.821057726,0.778832153
Maml1,0,1.692875981,1.93607041,1.940573473,1.485084448,1.097394607
Gm21033,0,8.641896269,8.787150856,8.717543036,7.636990923,6.614599009
Arl4a,0,1.277006079,0.977530494,-0.102993006,0.030575271,-0.183193936
Stox1,0,4.593758757,5.522009347,4.378451994,4.036678395,3.433314193
Platr31,0,4.349908207,5.432342239,4.156185193,2.722372784,2.246018119
Sh2d3c,0,-1.299918894,-0.326821627,-0.262834054,-0.832470312,-1.143798568
Phospho2,0,1.601501995,1.436107604,0.73847396,0.731894182,-0.296605702
Atxn2l,0,-0.646633463,-0.121990473,0.250640598,0.296137747,0.731627242
Arhgap21,0,0.907474907,0.809729984,1.174331851,1.427139471,1.619924711
Sept3,0,-1.141814006,-0.541538306,0.3958994,-0.330660054,-0.786711492
Slco4a1,0,-0.934402124,-0.67866477,-0.716810246,-0.472927203,-0.144662917
Fstl1,0,-0.737292197,-0.536010474,-0.346771752,-0.394861156,-0.149060188
Gm50107,0,-1.66784337,-0.988478377,-1.063026637,-0.635392543,-0.324850349
Slc25a23,0,-0.895503076,-0.118237989,0.326020057,-0.123979465,-0.303454712
