gene,zy,early2cell,mid_late_2cell,4cell,8C-16C,blastocyst
Gmppb,0.329013663,0.104053146,0.888068442,12.01515092,34.20101917,28.74957782
Gna15,0,0,0.051035557,0,0.905937699,3.992569847
Gnat1,2.437437745,0.798463755,0.024369526,0.018361709,0,0.001771099
Gpatch3,0.691929662,0.786441525,78.09694299,10.96105166,3.015753571,3.24768036
Grin1,0,0.076517715,0.207376806,0.809037917,6.507000152,0.132472616
Grsf1,134.9604039,144.198069,238.7959406,298.7523937,98.21427467,121.6457581
Grwd1,16.91180052,21.98644015,80.54532614,291.6644306,206.1338111,134.8979811
Gsg1,0,0.035922765,0.005247333,0,1.67800591,0.172573933
Gsta3,0,0.037661243,0.021684881,0,0.474355968,4.271850103
Gtf3c6,11.34022191,9.095133846,259.4350045,133.9409476,53.06402971,77.51048359
Guca1b,0,0.081874792,0.890342611,3.164057443,0.017661547,1.571960201
H2-M5,3.155998008,3.769834287,2.108379695,0,1.323581148,4.628430399
Heatr3,20.38546531,31.21793448,79.13993624,194.2753103,196.0014132,89.71583508
Hgh1,2.484260472,1.652710448,1.796704264,41.45269816,23.81952195,13.31024183
Hmgcr,61.66793573,30.13144484,15.52954024,25.61975112,16.19094566,55.77894461
Hmgcs1,809.2437658,1187.349639,331.5171563,160.4004838,70.69242775,61.30937039
Hmgn2,4.386752632,4.660438462,15.98911602,31.07522805,26.76170747,21.58527686
Hpdl,0,0.284780103,7.990718016,37.43837475,72.01702979,46.47308084
Hsh2d,0.018158428,0.236866728,4.329304912,6.832973763,22.64058942,1.471111251
Hspa5,89.42059141,58.54032767,565.3762594,759.5738616,260.776106,418.4438661
Hspa8,23.78032959,16.7598502,100.7002685,437.2802358,1523.689444,1098.558625
Hspb9,0,0,0.015416477,0,0.005942123,0
Hspd1,101.7576013,100.684695,87.77510802,180.2980301,287.6650488,784.0117061
Hsph1,127.2192425,108.3863021,287.9459135,379.3730214,176.1566997,633.4943206
Hvcn1,52.63358383,43.60341114,23.01465338,7.382732579,6.628746511,5.042249114
Iba57,0.018158428,0.380678563,0.223913321,1.899414483,1.175164822,2.433362858
Idi1,4.411477972,9.273825993,3.732855095,1.651585954,6.987152855,6.713619729
Il20rb,0.824363258,1.032954342,2.1551772,5.328134493,0.976820494,0.626271636
Il6ra,0,0.324399374,45.01727521,50.77012898,21.14826093,17.31569934
Ina,42.4009198,40.0220133,39.22200685,53.48149227,25.01984318,8.18931945
Ino80c,9.163710625,10.24677484,44.38705243,100.0501812,157.1978061,137.2781064
Insig1,97.88665686,32.86705155,52.67588306,55.12708663,81.89446475,104.3788093
Insyn2b,1.671994758,0.499884178,3.030986148,0,0.076398723,0.017530287
Ints5,11.77169798,21.21748864,73.50755577,67.30864412,33.54748585,30.5300145
Ints6,64.09115238,41.8779864,195.5731187,62.17866365,67.45293222,61.72950892
Irgm1,0.007477583,0.011696399,1.493677897,0.406707854,1.649716743,0.03041697
Isy1,60.1373529,54.71999575,25.32131029,19.23876445,53.57105228,47.53474925
Itga9,97.09808471,120.9441891,26.33479161,1.326218119,0.151541133,0.061652999
Itpa,7.404381574,5.804011746,18.33842883,55.22871706,82.22161964,69.35579941
Jade2,350.2539286,426.5007075,131.2374564,13.77880462,4.284056234,0.344470545
Jpt1,96.49163041,69.83970022,559.0950018,456.4420406,419.1401531,323.0962891
Jup,18.00530354,19.34978496,19.79705357,14.37113041,36.46255286,54.51998483
Kbtbd6,73.89939926,70.35914003,10.78942092,7.848637372,2.225424013,1.083881176
Kcnk2,1.280013158,1.060131324,3.494257631,15.50113593,0.102401687,0.005732983
Keap1,6.231459906,7.66013519,4.2973374,5.719898544,16.06623006,19.28735217
Khdc3,34.92575699,13.24172201,48.96910541,26.36321397,223.9769237,235.7064383
Klhdc4,4.46044648,6.789113708,11.47390784,66.37480129,109.9217757,63.4658895
Knop1,9.500390966,12.18269772,84.38410567,313.7416007,202.6523539,138.6282456
Krtdap,0.2239233,0.441799886,0.735532795,0,1.997571079,6.50516112
L1td1,0.007280602,0.975459461,163.8907582,42.43076201,23.34736347,221.9506656
Lasp1,0.624081015,1.873358323,2.884289955,2.635473516,106.6169606,80.94493826
Lbhd1,0.052343083,0.301007628,16.76844623,36.99127431,12.1270077,14.92911485
