TE,length,logFC,logCPM,F,PValue,FDR,comp,study,tagComp
Rep.RLTR9D2.LTR.ERVK,55062,-0.531430088,1.46272713,4.10227979,0.080661246,0.206708536,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR18.LTR.ERVK,153247,-0.548229272,3.032351906,4.077875876,0.081395294,0.207817982,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.Lx6.LINE.L1,119304,1.177500675,-1.200416239,4.072674678,0.081552873,0.208006904,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.ERVB4_2-LTR_MM.LTR.ERVK,62651,0.637240109,3.529112305,4.064391931,0.08180464,0.208483324,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RMER17A2.LTR.ERVK,995978,-0.555491345,4.221855306,4.035362775,0.082695118,0.20984924,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.MLTR31C_MM.LTR.ERVK,71452,-0.468485889,2.098380237,4.000585477,0.08377875,0.211463641,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.MER67B.LTR.ERV1,16205,0.977667588,-1.177149635,3.991282221,0.084071789,0.211870333,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR1D.LTR.ERV1,120493,-0.480841524,2.261153063,3.955326682,0.085217075,0.213810546,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.MER21C.LTR.ERVL,87140,-0.749747709,0.829876903,3.889880107,0.087354897,0.217384233,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR14.LTR.ERV1,355336,-0.439907727,3.937432581,3.880608316,0.087663441,0.217855679,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.MTB_Mm.LTR.ERVL-MaLR,43952,-0.518058455,1.903238553,3.847009919,0.088793601,0.219803616,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rep.RLTR1F_Mm.LTR.ERVK,29732,1.092762572,-1.248229339,3.841329378,0.08898657,0.220060632,0_vs_12,ZfpOE,0_vs_12_ZfpOE
