gene,length,logFC,logCPM,F,PValue,FDR,comp,study,tagComp
4933438K21Rik,1693,-0.69651813,-0.622893087,1.467404252,0.23556916,0.328153594,0_vs_24,DuxOE,0_vs_24_DuxOE
Magi2,11348,-0.747422592,-0.959555357,1.467153542,0.235608201,0.32818433,0_vs_24,DuxOE,0_vs_24_DuxOE
Lipe,5886,-0.19477973,2.814665015,1.466444828,0.235718608,0.328303217,0_vs_24,DuxOE,0_vs_24_DuxOE
Hhipl1,5601,0.432719586,0.613072808,1.466387651,0.235727518,0.328303217,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm37139,4419,0.988725583,-1.207420539,1.463545795,0.236170913,0.328873355,0_vs_24,DuxOE,0_vs_24_DuxOE
1700030C10Rik,2824,-0.179105219,3.227246013,1.463078309,0.236243952,0.328918457,0_vs_24,DuxOE,0_vs_24_DuxOE
Radx,3740,-0.357215264,1.011427782,1.463031027,0.236251341,0.328918457,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm49863,502,0.472440539,0.218996681,1.463011796,0.236254346,0.328918457,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm20324,1118,0.591765037,-0.300495059,1.461691528,0.236460788,0.329158595,0_vs_24,DuxOE,0_vs_24_DuxOE
E230014E18Rik,859,-0.951377857,-1.207762118,1.461690899,0.236460887,0.329158595,0_vs_24,DuxOE,0_vs_24_DuxOE
Mageb10-ps,1407,-0.187423235,2.903358716,1.461476095,0.236494496,0.329167239,0_vs_24,DuxOE,0_vs_24_DuxOE
Rgs17,8298,-0.351302116,1.211302394,1.461433552,0.236501153,0.329167239,0_vs_24,DuxOE,0_vs_24_DuxOE
E230029C05Rik,5972,0.711237821,-0.652856699,1.460264751,0.23668414,0.329378246,0_vs_24,DuxOE,0_vs_24_DuxOE
Eif2b5,2595,-0.074488827,6.696218779,1.460199889,0.2366943,0.329378246,0_vs_24,DuxOE,0_vs_24_DuxOE
Dnaaf2,3390,0.383839711,0.804237945,1.460138773,0.236703874,0.329378246,0_vs_24,DuxOE,0_vs_24_DuxOE
Utp18,3597,0.078862914,6.099751911,1.459780557,0.236759998,0.329423397,0_vs_24,DuxOE,0_vs_24_DuxOE
Rasa3,5095,0.146107137,3.745990469,1.459714149,0.236770404,0.329423397,0_vs_24,DuxOE,0_vs_24_DuxOE
Mettl21a,3005,0.154226872,3.666303128,1.458070563,0.237028145,0.329734906,0_vs_24,DuxOE,0_vs_24_DuxOE
Mdp1,2032,0.109682477,4.733841961,1.458068851,0.237028413,0.329734906,0_vs_24,DuxOE,0_vs_24_DuxOE
