TE,length,logFC,logCPM,F,PValue,FDR,comp,study,tagComp
Rep.ORR1A1.LTR.ERVL-MaLR,28753,1.03887677,1.210633689,13.71239891,0.000893793,0.002547988,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.ERVB5_2-LTR_MM.LTR.ERVK,192710,0.617074082,2.687658834,13.50005444,0.000965004,0.00272966,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.ERVB4_2-I_MM-int.LTR.ERVK,54596,1.503033299,0.184936861,12.80490412,0.001244228,0.003432102,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.RLTR31B_Mm.LTR.ERVK,29007,1.149525898,0.80408332,12.57642026,0.001354102,0.003702948,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.MER90a.LTR.ERV1,22912,2.410772005,-0.885366217,12.04118696,0.001654603,0.004433143,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.RLTR13A1.LTR.ERVK,113578,0.849260452,1.70681238,11.98077108,0.001692795,0.004524183,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.RMER3D-int.LTR.ERVK,230858,0.739148686,1.948154232,11.84116537,0.00178473,0.004746267,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.LTR72_RN.LTR.ERV1,65205,1.892832343,-0.425668197,11.53753604,0.002003805,0.005260125,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.MLTR31F_MM.LTR.ERVK,36750,1.541812913,0.078696556,11.48647863,0.002043412,0.005355367,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.MER70A.LTR.ERVL,22684,1.404091712,0.185196503,11.47075777,0.002055776,0.005384122,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.ORR1E-int.LTR.ERVL-MaLR,52529,0.940105804,1.315825015,10.86387594,0.002600615,0.006625262,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.RLTR22_Mur.LTR.ERVK,308748,0.68208781,1.942636075,9.239389972,0.004991164,0.011883753,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.MLT1E2.LTR.ERVL-MaLR,38740,1.003027835,0.747361334,9.139205677,0.005201923,0.012324841,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.IAPLTR3-int.LTR.ERVK,154924,0.715255267,1.71725251,9.123151339,0.005236584,0.012397844,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.IAPA_MM-int.LTR.ERVK,21002,1.279158384,0.040730767,8.764537125,0.006079803,0.014213167,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.MER110A.LTR.ERV1,6893,1.639463739,-0.479161143,8.524998001,0.006724434,0.01553047,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.MMERVK10D3_LTR.LTR.ERVK,50659,0.628821424,1.880326485,8.203862435,0.007707625,0.017514805,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.MLTR18B_MM.LTR.ERVK,81524,0.615012626,1.927925496,7.991622092,0.00844249,0.018968129,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.RMER6BA.LTR.ERVK,78371,0.688307857,1.718731787,7.832523733,0.0090432,0.020170158,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.MTEb-int.LTR.ERVL-MaLR,87489,0.92031868,0.79240451,7.832015851,0.00904519,0.020170158,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.IAP-d-int.LTR.ERVK,162292,1.97832168,-1.163093958,7.1358138,0.012279938,0.026403067,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.ETnERV2-int.LTR.ERVK,25065,1.083308495,0.407952292,7.092205481,0.01252085,0.026851625,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.RLTR9C.LTR.ERVK,167270,0.839194484,1.041209679,7.048805003,0.012765735,0.027325261,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.MER57C2.LTR.ERV1,18221,1.703084558,-0.95942666,6.52051968,0.016204714,0.033784871,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.MLT1K.LTR.ERVL-MaLR,25897,0.850853697,0.687729548,6.495237527,0.016392922,0.034133087,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.MLT1H1.LTR.ERVL-MaLR,16479,0.778093072,1.021969331,6.381608109,0.017268822,0.035741285,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.RLTR22_Mus.LTR.ERVK,100513,0.817931007,0.880253323,6.349935579,0.017521993,0.036187782,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.RLTR53B_Mm.LTR.ERVK,15572,0.710834126,1.176153055,6.273632847,0.018148738,0.037345776,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.RLTR19A.LTR.ERVK,4686,1.963666441,-1.400117928,5.916935637,0.021422898,0.043174107,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.RMER16B2.LTR.ERVK,22087,1.053543727,0.021759416,5.912905952,0.0214634,0.043246716,0_vs_24,DuxOE,0_vs_24_DuxOE
Rep.IAPLTR4_I.LTR.ERVK,38990,1.714284314,-0.81516124,5.749611083,0.023177531,0.046252179,0_vs_24,DuxOE,0_vs_24_DuxOE
