gene,dux_0h,dux_12h,dux_24h,dux_36h,dux_48h,dux_72h
Pkp2,50.74260655,53.02332401,27.8539578,18.53547748,15.55850765,17.91849279
Platr10,39.07586993,57.3616114,34.52343821,28.81080786,32.25272216,26.8544398
Platr11,6.128806411,6.445650376,2.549494672,1.707753984,0.59356447,0.49081935
Platr23,2.066735862,5.406817497,3.092650621,1.502522119,0.783134396,1.044520505
Platr3,2.982703266,4.689308776,3.862463189,4.216430518,2.48821696,1.719701728
Platr4,10.2614442,17.34330696,11.68116521,8.421935513,7.871425851,6.120151092
Platr6,1.18427275,2.367401396,1.873767279,1.513964964,0.665731534,0.745402518
Platr7,2.085086922,4.472872977,1.5094307,1.502522119,1.270239164,0.71855707
Plekha2,42.48995486,45.22227522,23.52505039,14.31694249,14.39705373,13.44861994
Plekhf1,4.844757689,14.70798509,14.65571854,12.88095572,8.585469349,8.367903768
Plekhg2,5.783779197,12.74686739,9.966948189,9.022171155,4.871190357,7.717719706
Plod2,96.40851849,106.5584196,75.47065344,52.43916709,41.76025366,43.43594756
Plscr3,7.944714859,9.380374721,6.469528483,5.542164691,3.737868238,4.282131521
Plxnb1,21.46278588,27.45019931,17.29326802,14.9917839,10.97472045,13.408895
Pml,46.51610947,109.6395873,45.73958807,25.63296477,27.38533871,38.8190091
Pms1,20.52546583,31.4899073,23.10441737,19.5759494,15.47014665,11.62547191
Pnkp,13.54422684,21.05703242,13.80442193,8.204520412,8.603865164,10.12605275
Pnma2,9.343656997,27.68629612,16.66202397,12.62703062,6.464588633,4.426223887
Pno1,60.66534904,82.85407671,56.61406933,42.42378934,46.46670914,39.66959252
Pnp,39.82366658,65.25730695,52.17827648,29.62815779,24.84801275,19.38591231
Pnp2,14.41395264,22.97731921,12.21759915,4.766823051,4.989271283,4.909455962
Polr1e,29.24701281,37.41389253,23.1968593,17.66872349,16.13953698,14.97750435
Polr2d,42.60250214,44.88179808,35.70209243,23.83379407,22.18766182,16.38216199
Polr3k,29.02895797,31.07165268,24.66790281,22.91597582,20.76203472,12.94987294
Pomgnt2,2.261010357,5.118581472,4.302355291,4.320680214,1.484712228,1.583136924
Pomk,3.235700278,11.27489377,9.842730342,9.38141426,8.653926468,6.017514592
Pou2f3,16.86638048,22.24062961,10.42305137,4.864734974,4.82584469,7.994514223
Ppa1,163.4374005,193.5452761,123.1281635,85.44874005,89.42340695,93.1795432
Ppat,140.2261174,207.1705963,147.7520828,99.5677163,98.22434004,93.91550463
Ppcs,12.68085931,22.98108467,18.71519441,15.021669,11.51333807,8.136158797
Ppid,231.3732872,271.8941405,190.3184605,142.6195624,149.6965353,151.0815133
Ppil1,108.0843361,124.1496972,91.79355204,79.20739154,76.73460477,52.35138153
Ppil3,10.39260023,15.3943925,9.229610219,7.197790699,7.794598194,6.857155172
Ppp1r14c,2.172933589,2.369951577,2.136354887,1.964925219,1.116907065,0.742607004
Ppp1r26,1.447531108,4.264042662,2.584692911,2.887574395,1.396793207,1.137198975
Ppp1r3c,0.864509935,7.82579312,6.616191001,4.716535803,2.477446934,0.994814466
Ppp1r3e,0.363960069,1.27224989,0.413852336,0.430947271,0.268756396,0.221546161
Ppp1r3g,0.314754523,1.780322472,0.360828758,0.132157877,0.083786472,0.054447137
Ppp1r7,63.36001535,77.76775343,61.22023702,42.08985405,34.88175208,29.7841866
Prdm14,9.064888133,15.9730429,12.79644202,7.244783112,7.262670292,5.69383094
Prelid2,28.86889621,32.03497585,20.10559379,10.88340865,9.573721691,7.683651632
