gene,zy,early2cell,mid_late_2cell,4cell,8C-16C,blastocyst
Nup35,190.0032518,135.9201902,113.3478648,142.1089233,78.16749723,40.13277541
Nxf1,47.4568162,52.56855789,161.2660063,310.6373114,140.8107009,142.1058514
Olfr814,0.073719501,0.285781813,7.983917836,0.91847234,0.642826018,0.701687612
Pcdh17,0,2.09220676,1.821198803,0,0.006005945,0.080181766
Pcolce2,21.17699418,16.96021494,5.063498442,0.268179276,0.366835372,2.320871898
Pcyt1b,62.7558009,67.78422246,20.1275365,20.17928886,5.74942425,12.69907847
Pdzd4,0,0.415388497,1.479459968,4.176498456,0.541182064,0.365728681
Pgd,29.44610587,31.65081636,111.6256464,304.142373,308.3119477,338.8978069
Phb,53.87642271,53.16074176,17.12789997,39.40687036,89.50826626,142.2831522
Phf11a,0.064371882,0.007674839,11.56676795,3.047503053,4.510936662,5.711530234
Pih1d2,0.418006569,0.004970684,1.5716109,3.026916672,1.068990248,0.876755991
Pirt,0.013085131,0.015395471,0.822174581,0,0,0.706472351
Platr8,0,0,0.964576186,1.796373963,0.020552424,0.287214729
Plpp1,9.717023512,14.27081213,4.400797489,3.329971917,16.21767319,48.84902707
Pnp2,15.23017701,14.84218316,58.91457457,26.27991482,24.44849073,16.23931921
Pop1,43.81271608,41.33345163,41.45227742,47.99410834,28.794661,19.21893764
Ppa1,168.0275819,105.8288478,74.17540195,184.489939,72.18553425,130.6308334
Ppcs,0,0,5.832657253,29.52362381,12.86368986,24.17611325
Ppp1r10,331.4679841,335.6019682,126.5714066,230.22859,69.84090949,46.25415386
Pprc1,16.07438868,24.63463869,267.291831,536.6252672,208.1208479,139.3248632
Pramel6,0,0.733138763,238.2418794,510.8936254,675.2559821,313.0962618
Pramel7,0,1.514457927,268.2456155,1279.334837,1012.840574,400.4293495
Ptbp2,204.9215965,277.4164194,240.650169,17.44079626,7.764624741,8.992880587
Ptpmt1,0,0.402272694,2.438072478,1.877761136,11.31890213,17.60763084
Ptrhd1,13.96822465,9.658438973,7.753882494,25.94674469,29.10150535,37.24669415
Pusl1,0,0.071893091,17.76678128,12.1468149,21.1028576,31.41419217
Pycr2,11.37282597,6.056752604,9.214243611,14.94950787,13.86460921,36.69573684
Pym1,6.644879748,4.654274392,40.36620031,35.48310951,52.80897469,38.9248977
Rab19,0,0,6.038687527,4.484093312,0.484351499,0.002229451
Ranbp1,14.64728499,5.523574981,31.22364687,71.44203478,144.3230964,148.5830922
Rapgef4,15.22386084,19.6977422,4.075537172,0.010823804,0.061078864,0.489138431
Rassf9,0,0.007173294,0.209048815,0.004459477,0.218199829,0.010734484
Rbm10,0.627756944,1.931445059,99.44310666,143.365795,30.5904985,31.11308842
Rbm14,45.70128871,32.57927626,35.90114892,87.94321852,39.51933523,49.62739769
Rbmxl1,1.946303866,2.266443935,18.34628577,43.33537783,47.8678154,69.94593768
Rbx1,162.6371371,130.44224,126.9602071,184.9529734,217.4168977,232.4258346
Rinl,0.655254139,0,3.617261279,33.53276049,5.08890138,14.21250983
