gene,length,logFC,logCPM,F,PValue,FDR,comp,study,tagComp
Gm9008,2353,0.202630871,3.295269253,0.385364748,0.553559509,0.706972939,0_vs_12,ZfpOE,0_vs_12_ZfpOE
2210406H18Rik,1108,-0.374595649,-1.56371851,0.384741588,0.553872379,0.707329548,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Tmem65,6306,0.133942856,4.894760626,0.384327888,0.554080283,0.707552073,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Mkx,4095,-0.161450144,2.073543755,0.384129888,0.554179844,0.707636228,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Prpf18,5310,0.12078655,6.245085224,0.383255582,0.554619907,0.708155136,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rgs14,4239,-0.175440772,1.564705425,0.383014683,0.554741283,0.708267095,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Cdh26,3012,-0.427964936,-2.310189504,0.382664455,0.554917841,0.708449491,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Cd63-ps,875,-0.322370667,-1.445521513,0.382399872,0.555051298,0.708576843,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Ubb,1675,-0.294013369,9.915325707,0.382221478,0.555141318,0.70864873,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Mtus1,10078,-0.111659281,5.439974831,0.382132204,0.555186379,0.70866322,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Ostf1,5110,-0.127295579,5.28751943,0.382062692,0.555221469,0.708664984,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Slc25a35,3677,0.15779204,2.333843148,0.381972754,0.555266877,0.708676208,0_vs_12,ZfpOE,0_vs_12_ZfpOE
4633401B06Rik,1073,0.312234093,-0.306338853,0.38191175,0.555297682,0.708676208,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Bco2,2118,0.238992628,-0.454936667,0.381795025,0.555356633,0.708708419,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rap2b,6793,0.122680588,3.783350296,0.38165961,0.555425039,0.708752691,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Neil1,1871,-0.193173172,2.868696527,0.38146873,0.555521493,0.708832747,0_vs_12,ZfpOE,0_vs_12_ZfpOE
5430427N15Rik,2393,-0.284421516,-0.659435469,0.381281899,0.555615934,0.708872582,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rps5,1734,0.118543818,10.27454506,0.38127356,0.555620149,0.708872582,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Fbl,4209,0.195583214,7.873712029,0.381045104,0.555735677,0.708976949,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Zdhhc13,2410,0.140034864,5.41982417,0.380626493,0.555947492,0.709204133,0_vs_12,ZfpOE,0_vs_12_ZfpOE
9330162G02Rik,30942,0.288688297,1.26169801,0.380425862,0.556049068,0.709250202,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Gm50464,433,-0.202336909,0.58112203,0.380421891,0.556051079,0.709250202,0_vs_12,ZfpOE,0_vs_12_ZfpOE
H4c14,1630,-0.428059252,-1.693149691,0.38028341,0.556121212,0.709296623,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Gm49066,799,-0.397319536,-1.626076436,0.379933012,0.55629875,0.709480019,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Gm44427,456,-0.468006752,-1.948904342,0.379795689,0.55636836,0.709525753,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Gm43712,291,-0.285212699,-0.65887968,0.379643752,0.556445399,0.709580954,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Dlx4os,1664,-0.376390451,-1.417620162,0.379202839,0.556669083,0.709823141,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Cd34,7290,0.137212155,3.032753927,0.379008533,0.556767717,0.709905853,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Tcte2,4380,0.295615412,0.086590509,0.37869977,0.556924524,0.710062725,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Gm26812,805,-0.486312891,-1.503774113,0.378405812,0.557073897,0.7102101,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rfxank,3967,-0.149039952,3.104969627,0.378261159,0.557147431,0.710260776,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Abca13,19737,0.213937402,-0.036226202,0.378193772,0.557181694,0.710261385,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Gm10501,2200,0.456253691,-1.984157869,0.378008641,0.557275846,0.710295266,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Sybu,7702,0.456253691,-1.984157869,0.378008641,0.557275846,0.710295266,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rhbdd2,7534,-0.117403433,4.986732108,0.377724197,0.55742057,0.710436656,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Lrp12,4588,0.135068789,4.41751521,0.377298878,0.557637112,0.710669557,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Dnmt3c,2223,0.259553058,-0.737647766,0.377168497,0.557703528,0.710697906,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Gm37132,2238,-0.480089167,-2.164446444,0.377090797,0.557743115,0.710697906,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Gm42502,1089,0.335325005,-1.385912198,0.377029277,0.557774463,0.710697906,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Gm42432,1617,0.414297459,-0.943872016,0.376989803,0.557794579,0.710697906,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Zc3h8,1624,0.116144994,4.507607443,0.376741277,0.557921264,0.710816237,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Xist,17946,-0.278110599,3.190996861,0.376323819,0.558134193,0.711001929,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Gm8865,430,-0.391496102,-1.796651318,0.376322916,0.558134654,0.711001929,0_vs_12,ZfpOE,0_vs_12_ZfpOE
1700094D03Rik,3097,-0.22262061,0.667651509,0.375895511,0.558352829,0.711235441,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Gm3667,2053,-0.288924914,-0.547934345,0.375831297,0.558385623,0.711235441,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Hand1,1997,0.270450101,-0.845703004,0.375715608,0.558444715,0.711267615,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Stx17,5935,-0.133248063,3.854230818,0.375434658,0.558588274,0.711407359,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Lypd4,1385,-0.467803578,-1.759554318,0.375029849,0.558795254,0.711627854,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rnf121,4427,-0.114355834,4.66827571,0.374695782,0.558966181,0.711802413,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Gm7600,785,0.285235087,-1.004084095,0.374501825,0.55906547,0.711885728,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Gm20712,1491,-0.268145158,-0.490106278,0.374168922,0.559235971,0.712022346,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Mast3,5955,-0.160143084,4.930018837,0.374160086,0.559240498,0.712022346,0_vs_12,ZfpOE,0_vs_12_ZfpOE
5830462I19Rik,3383,-0.49214621,-1.056646741,0.374056837,0.559293401,0.712046579,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Gm13571,3102,-0.385853732,-0.91004126,0.373931884,0.559357438,0.712084984,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Spef1l,1990,-0.215410476,-0.030681035,0.373825721,0.559411858,0.71211114,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Alg3,1690,0.134445576,4.656954236,0.373582992,0.559536322,0.712226453,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Ubr1,9889,0.146241009,6.515557755,0.373431401,0.559614082,0.712282306,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Lrch4,3925,0.322810365,-1.280078128,0.373300584,0.559681204,0.712324613,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Gm10443,210,-0.256786141,1.158323824,0.373167094,0.559749714,0.712368681,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Duxbl1,4781,-0.278500746,-1.009804997,0.37307359,0.559797713,0.712379909,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Khsrp,4319,-0.131050589,8.327503447,0.372970258,0.559850767,0.712379909,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Vpreb3,859,-0.207701556,1.711327363,0.372951898,0.559860194,0.712379909,0_vs_12,ZfpOE,0_vs_12_ZfpOE
G630030J09Rik,2135,-0.405696002,-1.475768394,0.372780011,0.559948472,0.712449115,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Zfp869,8031,0.139629625,3.978464293,0.372611505,0.560035041,0.712516138,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Nlgn2,5785,0.203578979,5.031318418,0.372230249,0.56023101,0.712679204,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Taf10,4584,-0.237165806,6.140916049,0.372101411,0.560297266,0.712720362,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Gm48222,569,0.259509042,-0.358424596,0.371789688,0.560457638,0.712881227,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Iqsec1,15941,-0.111260837,5.425240314,0.371532311,0.560590123,0.713006603,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Inpp5f,8323,0.146331058,4.205839876,0.371277365,0.560721419,0.713130453,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rfxap,2242,-0.125385039,3.788784847,0.371019248,0.560854412,0.713256445,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Gm8615,1102,0.482471208,-2.068038823,0.370834569,0.560949607,0.713334357,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Trim61,1980,-0.523818528,-2.031388147,0.370767574,0.560984148,0.713335133,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Gm9392,554,0.280202737,-0.588074562,0.370676987,0.56103086,0.713351383,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Trp53tg5,934,0.48116446,-2.068355415,0.37033163,0.56120902,0.713534758,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Adprh,2966,0.115643849,7.561778183,0.370053693,0.561352485,0.713674001,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Wfs1,3787,0.128824831,4.744173896,0.369929418,0.561416657,0.713712426,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Snap23,4293,0.118269617,6.143210071,0.369589797,0.561592105,0.713892298,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Gm45001,2515,0.262572004,-0.77271019,0.369423618,0.561677994,0.71392937,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Gm10059,171,-0.428863056,-2.309968744,0.369401966,0.561689187,0.71392937,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Gm48809,2225,0.425088229,-2.30696326,0.36879459,0.56200335,0.714285499,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Pou4f3,2399,-0.296673758,-0.140239365,0.3682174,0.562302236,0.714622168,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Lat2,2621,-0.308034215,-1.09688299,0.368113616,0.562356013,0.714647311,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Puf60,4748,0.143394148,7.263247361,0.368045242,0.562391448,0.714649142,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Zfp651,7063,0.185809987,1.236227493,0.36776903,0.562534641,0.714787897,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Rhobtb1,6075,0.13139981,3.028940817,0.367623455,0.56261014,0.714840624,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Uqcr10,584,0.181993188,6.967767681,0.367402703,0.562724667,0.714941436,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Gm49502,2110,0.192566056,0.552710365,0.367339439,0.562757498,0.714941436,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Traf2,5101,0.121490624,4.001318177,0.367072135,0.562896258,0.715074508,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Gm9256,1420,0.399814374,-2.206821603,0.366721316,0.563078479,0.715219555,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Trp53-ps,1162,0.399814374,-2.206821603,0.366721316,0.563078479,0.715219555,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Magea3,963,-0.476219509,-2.163645592,0.366369239,0.563261475,0.715408414,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Slc26a4,3109,-0.430147424,-1.869247055,0.366267851,0.563314196,0.715408414,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Il25,1064,0.54450337,-2.254794014,0.366238898,0.563329253,0.715408414,0_vs_12,ZfpOE,0_vs_12_ZfpOE
4930481B07Rik,1490,-0.153460213,1.606151443,0.366011698,0.563447437,0.715509184,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Mfsd4b4,4479,0.132522155,3.222285888,0.365934654,0.563487526,0.715509184,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Slc2a5,3402,0.138010228,2.375380868,0.365867052,0.563522706,0.715509184,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Gm49902,1881,-0.234130891,-0.377124115,0.365824716,0.56354474,0.715509184,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Tmem222,2003,-0.128996919,5.330810193,0.365715558,0.56360156,0.715529733,0_vs_12,ZfpOE,0_vs_12_ZfpOE
1700122E12Rik,709,0.477552554,-1.721476215,0.36566286,0.563628995,0.715529733,0_vs_12,ZfpOE,0_vs_12_ZfpOE
Gm2007,1501,0.424093551,-2.306742229,0.365496279,0.563715738,0.71559664,0_vs_12,ZfpOE,0_vs_12_ZfpOE
